Online,Venue,yes_rsvp_count,Duration Minutes,int,Entry Fee,meta_category.name,members,Group,Pro,Duration Hours,Datetime,EDT,
,,5,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,25-01-20 11:30,11:30:00,
,,4,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,26-01-20 11:30,11:30:00,
,,6,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,29-01-20 18:30,18:30:00,
,,6,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,31-01-20 18:30,18:30:00,
,,6,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,01-02-20 10:00,10:00:00,
,,5,240,16,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.0,01-02-20 10:00,10:00:00,
,,3,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,01-02-20 11:00,11:00:00,
,,18,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,02-02-20 11:00,11:00:00,
,,2,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,06-02-20 18:30,18:30:00,
,,10,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,07-02-20 18:30,18:30:00,
,,10,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,07-02-20 21:00,21:00:00,
,,3,280,19,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.7,08-02-20 09:50,09:50:00,
,,13,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,08-02-20 13:15,13:15:00,
,,3,280,19,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.7,09-02-20 09:50,09:50:00,
,,9,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,09-02-20 11:00,11:00:00,
,,7,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,12-02-20 18:30,18:30:00,
,,4,280,19,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.7,15-02-20 09:50,09:50:00,
,,8,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,15-02-20 10:30,10:30:00,
,,7,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,15-02-20 11:00,11:00:00,
,,3,240,16,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.0,17-02-20 09:30,09:30:00,
,,10,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,19-02-20 18:30,18:30:00,
,,2,240,16,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.0,21-02-20 09:30,09:30:00,
,,8,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,21-02-20 18:30,18:30:00,
,,8,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,22-02-20 10:00,10:00:00,
,,9,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,22-02-20 11:30,11:30:00,
,,15,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,23-02-20 19:30,19:30:00,
,,9,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,28-02-20 18:30,18:30:00,
,,4,250,17,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.2,29-02-20 09:50,09:50:00,
,,6,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,29-02-20 10:00,10:00:00,
,,7,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,01-03-20 11:00,11:00:00,
,,10,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,04-03-20 18:30,18:30:00,
,,2,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,06-03-20 18:30,18:30:00,
,,4,280,19,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.7,07-03-20 09:50,09:50:00,
,,11,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,07-03-20 11:00,11:00:00,
,,4,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,11-03-20 18:30,18:30:00,
,,4,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,13-03-20 18:30,18:30:00,
,,2,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,15-03-20 11:00,11:00:00,
,,3,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,15-03-20 11:00,11:00:00,
,,13,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,28-04-20 17:00,17:00:00,
NO,Inner Soul Yoga & Cycle,1,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,01-01-20 12:30,12:30:00,
NO,Barres and Wheels ,7,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,05-01-20 09:00,09:00:00,
NO,Barres and Wheels ,2,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,05-01-20 10:00,10:00:00,
,,5,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,12-01-20 09:00,09:00:00,
,,6,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,12-01-20 10:00,10:00:00,
,,6,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,19-01-20 09:00,09:00:00,
,,2,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,19-01-20 10:00,10:00:00,
,,6,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,26-01-20 09:00,09:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,26-01-20 10:00,10:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,02-02-20 09:00,09:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,02-02-20 10:00,10:00:00,
,,3,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,09-02-20 09:00,09:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,09-02-20 10:00,10:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,16-02-20 09:00,09:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,16-02-20 10:00,10:00:00,
,,3,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,23-02-20 09:00,09:00:00,
,,1,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,23-02-20 10:00,10:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,01-03-20 09:00,09:00:00,
,,1,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,01-03-20 10:00,10:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,08-03-20 09:00,09:00:00,
,,4,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,08-03-20 10:00,10:00:00,
,,0,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,15-03-20 09:00,09:00:00,
,,1,60,4,FREE,Outdoors & Adventure,2035,Cycling Ottawa-Gatineau En vélo!,NO,1.0,15-03-20 10:00,10:00:00,
NO,allsaints event space,6,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,09-01-20 19:00,19:00:00,
NO,allsaints event space,6,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,03-02-20 19:00,19:00:00,
NO,Cafe Latte Cino,4,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,11-02-20 14:30,14:30:00,
NO,Cafe Latte Cino,5,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,03-03-20 14:30,14:30:00,
NO,allsaints event space,5,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,11-03-20 19:00,19:00:00,
YES,Online,4,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,22-04-20 14:00,14:00:00,
YES,Online,4,60,4,FREE,Outdoors & Adventure,917,Ottawa Travel - Lush Life -Meetup,NO,1.0,30-04-20 17:00,17:00:00,
,,1,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,11-01-20 11:00,11:00:00,
,,9,60,4,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,1.0,24-01-20 18:00,18:00:00,
,,3,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,25-01-20 11:00,11:00:00,
,,1,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,30-01-20 13:00,13:00:00,
,,4,300,20,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,5.0,02-02-20 11:00,11:00:00,
,,5,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,02-02-20 19:00,19:00:00,
,,2,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,02-02-20 19:00,19:00:00,
,,2,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,09-02-20 13:00,13:00:00,
,,8,180,12,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,3.0,15-02-20 09:30,09:30:00,
,,5,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,16-02-20 12:00,12:00:00,
,,8,150,10,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.5,29-02-20 09:30,09:30:00,
,,1,300,20,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,5.0,01-03-20 11:00,11:00:00,
,,3,150,10,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.5,01-03-20 12:30,12:30:00,
,,1,15,1,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,0.3,04-03-20 00:05,00:05:00,
,,1,180,12,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,3.0,04-03-20 12:00,12:00:00,
,,9,180,12,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,3.0,07-03-20 10:00,10:00:00,
,,1,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,08-03-20 09:00,09:00:00,
,,2,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,11-03-20 19:00,19:00:00,
,,6,240,16,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,4.0,14-03-20 10:00,10:00:00,
,,5,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,25-03-20 19:00,19:00:00,
,,1,180,12,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,3.0,04-04-20 10:00,10:00:00,
,,15,90,6,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,1.5,14-04-20 19:00,19:00:00,
,,0,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,24-04-20 06:30,06:30:00,
,,8,120,8,FREE,Outdoors & Adventure,72,Almonte Riverfront Paddling Meetup,NO,2.0,28-04-20 19:00,19:00:00,
NO,allsaints event space,12,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,09-01-20 19:00,19:00:00,
NO,allsaints event space,6,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,03-02-20 19:00,19:00:00,
NO,Cafe Latte Cino,5,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,11-02-20 14:30,14:30:00,
NO,Cafe Latte Cino,7,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,03-03-20 14:30,14:30:00,
NO,allsaints event space,5,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,11-03-20 19:00,19:00:00,
YES,Online,3,60,4,FREE,Outdoors & Adventure,485,Ottawa Travel - Lush Life - Senior,NO,1.0,30-04-20 17:00,17:00:00,
NO,allsaints event space,9,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,09-01-20 19:00,19:00:00,
NO,allsaints event space,6,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,03-02-20 19:00,19:00:00,
NO,Cafe Latte Cino,6,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,11-02-20 14:30,14:30:00,
NO,Cafe Latte Cino,5,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,03-03-20 14:30,14:30:00,
NO,allsaints event space,6,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,11-03-20 19:00,19:00:00,
YES,Online,6,60,4,FREE,Outdoors & Adventure,576,"Female Boomers Travel Solo, Never Alone",NO,1.0,30-04-20 17:00,17:00:00,
NO,2026 Tenth Line Rd,8,120,8,FREE,Outdoors & Adventure,580,Ottawa Women Travellers Meetup,NO,2.0,03-03-20 19:00,19:00:00,
NO,306 Cumberland St,3,90,6,FREE,Outdoors & Adventure,370,Worldwide Adventures,NO,1.5,12-02-20 17:30,17:30:00,
NO,Fox & Feather Pub and Grill,6,120,8,FREE,Movements,770,CPAWS - OV,NO,2.0,13-01-20 19:00,19:00:00,
NO,St. Malachy,16,240,16,FREE,Movements,770,CPAWS - OV,NO,4.0,08-02-20 17:30,17:30:00,
NO,Fox & Feather Pub and Grill,3,120,8,FREE,Movements,770,CPAWS - OV,NO,2.0,10-02-20 19:00,19:00:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,08-01-20 18:30,18:30:00,
,,5,120,8,FREE,Outdoors & Adventure,183,chicks on sticks,NO,2.0,13-01-20 18:00,18:00:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,15-01-20 18:30,18:30:00,
,,1,120,8,FREE,Outdoors & Adventure,183,chicks on sticks,NO,2.0,18-01-20 15:00,15:00:00,
,,2,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,22-01-20 18:30,18:30:00,
,,2,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,29-01-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,05-02-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,12-02-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,19-02-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,26-02-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,183,chicks on sticks,NO,3.0,04-03-20 18:30,18:30:00,
,,5,240,16,FREE,Outdoors & Adventure,606,Ontario Singles Group Travel,NO,4.0,18-01-20 16:00,16:00:00,
NO,PortMiami,8,240,16,FREE,Outdoors & Adventure,606,Ontario Singles Group Travel,NO,4.0,23-02-20 16:00,16:00:00,
NO,Lauriault Trail,12,180,12,FREE,Outdoors & Adventure,1691,EPIC Hikes,NO,3.0,29-02-20 10:00,10:00:00,
NO,Costa Rica,1,60,4,FREE,Outdoors & Adventure,1219,Funabalu Club,NO,1.0,15-01-20 19:00,19:00:00,
NO,Umbrella Bar,1,180,12,FREE,Outdoors & Adventure,1219,Funabalu Club,NO,3.0,07-02-20 21:00,21:00:00,
YES,Online,1,60,4,FREE,Outdoors & Adventure,1219,Funabalu Club,NO,1.0,28-04-20 17:00,17:00:00,
NO,RA Centre - Courtside B,2,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,29-01-20 19:00,19:00:00,
NO,RA Centre - Courtside B,1,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,04-02-20 19:00,19:00:00,
NO,RA Centre - Courtside B,1,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,11-02-20 19:00,19:00:00,
NO,RA Centre - Courtside B,2,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,19-02-20 19:00,19:00:00,
NO,RA Centre - Courtside B,4,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,25-02-20 19:00,19:00:00,
NO,RA Centre - Courtside B,3,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,11-03-20 19:00,19:00:00,
NO,RA Centre,1,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,25-03-20 19:00,19:00:00,
NO,RA Centre,4,120,8,FREE,Outdoors & Adventure,532,Meetup Site for RACCC - Ottawa's Canoe Camping Club,NO,2.0,24-04-20 18:30,18:30:00,
,,30,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,16-01-20 19:00,19:00:00,
,,17,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,26-01-20 10:00,10:00:00,
,,5,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,05-02-20 19:30,19:30:00,
,,6,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,12-02-20 19:30,19:30:00,
,,6,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,08-03-20 10:00,10:00:00,
,,12,120,8,FREE,Outdoors & Adventure,243,Renee Cormier,NO,2.0,30-04-20 19:00,19:00:00,
NO,Jack Pine Trail ,50,120,8,FREE,Outdoors & Adventure,3916,Ottawa Hike to Heal,NO,2.0,26-01-20 09:30,09:30:00,
NO,Jack Pine Trail ,47,120,8,FREE,Outdoors & Adventure,3916,Ottawa Hike to Heal,NO,2.0,01-03-20 09:30,09:30:00,
NO,Senate of Canada building,20,225,15,FREE,Outdoors & Adventure,3916,Ottawa Hike to Heal,NO,3.8,08-03-20 10:15,10:15:00,
NO,Hurdman Station Place,6,180,12,FREE,Outdoors & Adventure,3916,Ottawa Hike to Heal,NO,3.0,08-03-20 10:30,10:30:00,
,,46,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,26-01-20 13:00,13:00:00,
NO,OWASP DevSlop YouTube Channel,27,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,23-02-20 13:00,13:00:00,
NO,OWASP DevSlop YouTube Channel,40,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,08-03-20 13:00,13:00:00,
NO,OWASP DevSlop YouTube Channel,78,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,15-03-20 13:00,13:00:00,
YES,Online,60,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,05-04-20 13:00,13:00:00,
YES,Online,59,60,4,FREE,Tech,1612,OWASP DevSlop Project,YES,1.0,25-04-20 13:00,13:00:00,
NO,Rebel.com,52,120,8,FREE,Tech,2412,Agile Ottawa Meetup Group,NO,2.0,14-01-20 18:00,18:00:00,
NO,Innovapost Inc.,86,120,8,FREE,Tech,2412,Agile Ottawa Meetup Group,NO,2.0,11-02-20 18:00,18:00:00,
NO,CGI,60,120,8,FREE,Tech,2412,Agile Ottawa Meetup Group,NO,2.0,10-03-20 18:00,18:00:00,
NO,Shopify (Cody's Cafe - 6th Floor),68,270,18,FREE,Tech,1378,OWASP Ottawa,NO,4.5,16-01-20 17:00,17:00:00,
,,12,120,8,FREE,Tech,1378,OWASP Ottawa,NO,2.0,16-01-20 20:30,20:30:00,
NO,Trend Micro Canada,35,60,4,FREE,Tech,1378,OWASP Ottawa,NO,1.0,30-01-20 12:00,12:00:00,
NO,Shopify (Cody's Cafe - 6th Floor),77,120,8,FREE,Tech,1378,OWASP Ottawa,NO,2.0,20-02-20 17:00,17:00:00,
YES,Online,74,60,4,FREE,Tech,1378,OWASP Ottawa,NO,1.0,19-03-20 19:00,19:00:00,
YES,Online,95,120,8,FREE,Tech,1378,OWASP Ottawa,NO,2.0,22-04-20 19:00,19:00:00,
NO,7 Bayview Station Rd,99,180,12,FREE,Tech,1266,Ottawa Cyber Security Meetup,NO,3.0,14-01-20 18:00,18:00:00,
NO,Calian Group Ltd.,46,180,12,FREE,Tech,1266,Ottawa Cyber Security Meetup,NO,3.0,18-02-20 18:00,18:00:00,
NO,7 Bayview Station Rd,48,180,12,FREE,Tech,1266,Ottawa Cyber Security Meetup,NO,3.0,10-03-20 18:00,18:00:00,
NO,IBM,68,120,8,FREE,Tech,1053,"Ottawa - Cognitive, AI & Data Science Meetup",NO,2.0,10-03-20 16:00,16:00:00,
,,23,60,4,FREE,Tech,901,Virtual Eclipse Community MeetUp,NO,1.0,22-04-20 08:00,08:00:00,
NO,Adobe Canada,100,120,8,FREE,Tech,908,Ottawa ReactJS Meetup,NO,2.0,30-01-20 19:00,19:00:00,
NO,Qlik,98,120,8,FREE,Tech,908,Ottawa ReactJS Meetup,NO,2.0,05-03-20 18:30,18:30:00,
,,61,60,4,FREE,Tech,677,Jakarta Tech Talks,NO,1.0,14-01-20 11:00,11:00:00,
,,34,120,8,FREE,Tech,677,Jakarta Tech Talks,NO,2.0,27-01-20 11:00,11:00:00,
,,94,120,8,FREE,Tech,677,Jakarta Tech Talks,NO,2.0,18-02-20 09:00,09:00:00,
,,45,60,4,FREE,Tech,677,Jakarta Tech Talks,NO,1.0,25-02-20 11:30,11:30:00,
,,56,120,8,FREE,Tech,677,Jakarta Tech Talks,NO,2.0,10-03-20 11:00,11:00:00,
,,38,120,8,FREE,Tech,677,Jakarta Tech Talks,NO,2.0,24-03-20 11:00,11:00:00,
,,4,60,4,FREE,Tech,159,GC Agile Community of Enablement,NO,1.0,13-02-20 10:00,10:00:00,
,,20,60,4,FREE,Tech,159,GC Agile Community of Enablement,NO,1.0,14-02-20 13:30,13:30:00,
,,1,60,4,FREE,Tech,159,GC Agile Community of Enablement,NO,1.0,20-02-20 10:00,10:00:00,
,,4,30,2,FREE,Tech,159,GC Agile Community of Enablement,NO,0.5,05-03-20 10:30,10:30:00,
,,9,60,4,FREE,Tech,159,GC Agile Community of Enablement,NO,1.0,05-03-20 14:00,14:00:00,
